,scale
Size,0.35318457574112894
Weight,0.36960924410902646
Sweetness,0.3695115989984637
Softness,0.35905801766868845
HarvestTime,0.3705221060151782
Ripeness,0.3633869180036241
Acidity,0.3556534404490737
weight_to_size,4.2548296593145093e-07
ripeness_to_harvest,4.907483747238368e-07
acidity_times_softness,0.15281932792440434
Size^2,0.12473934454144123
Size^3,0.04405601248009543
Weight^2,0.1366109933308459
Weight^3,0.0504926859819972
Sweetness^2,0.13653882179440144
Sweetness^3,0.050452678366615565
Softness^2,0.12892266005216818
Softness^3,0.04629071475090572
HarvestTime^2,0.13728663104592295
HarvestTime^3,0.050867731662864124
Ripeness^2,0.13205005217617263
Ripeness^3,0.04798526148251714
Acidity^2,0.12648936970326283
Acidity^3,0.04498637951520025
Size*Weight,0.14528673256228875
Ripeness*Sweetness,0.1583745383217583
HarvestTime*Acidity,0.14551623106231756
