,center
Size,2.091933143164818
Weight,2.1299377383698044
Sweetness,1.8583815058370177
Softness,2.099484767056521
HarvestTime,2.0328498464805906
Ripeness,2.2394436740318797
Acidity,2.2327753248366706
weight_to_size,1.014749618606762
ripeness_to_harvest,1.0980937108781448
acidity_times_softness,4.467386209850117
Size^2,4.3761842756274465
Size^3,9.154684927434511
Weight^2,4.53663479799142
Weight^3,9.662749783529678
Sweetness^2,3.453581821241107
Sweetness^3,6.418072585504435
Softness^2,4.4078362953022125
Softness^3,9.254185192096719
HarvestTime^2,4.132478507565786
HarvestTime^3,8.400708337214327
Ripeness^2,5.015107969872462
Ripeness^3,11.231051820902493
Acidity^2,4.985285664555613
Acidity^3,11.131022878724158
Size*Weight,4.394567650071945
Ripeness*Sweetness,4.145972548063655
HarvestTime*Acidity,4.454620886829138
