,scale
Size,0.3620440751555152
Weight,0.3540534371201358
Sweetness,0.374326012904709
Softness,0.400548774939429
HarvestTime,0.3418012735521043
Ripeness,0.30844553287038456
Acidity,0.36176898569582594
weight_to_size,0.28972473349337435
ripeness_to_harvest,0.23059559369703897
acidity_times_softness,1.261541117511654
Size^2,1.5105732311150009
Size^3,4.738839712008441
Weight^2,1.509252373796096
Weight^3,4.836305106131029
Sweetness^2,1.3924129947487764
Sweetness^3,3.897722342208633
Softness^2,1.643607822709484
Softness^3,5.074338858283044
HarvestTime^2,1.3910491111744845
HarvestTime^3,4.255909904933063
Ripeness^2,1.366166919625913
Ripeness^3,4.545606048825961
Acidity^2,1.5980836029833183
Acidity^3,5.306385186666176
Size*Weight,0.9922530621591319
Ripeness*Sweetness,1.1554172136535876
HarvestTime*Acidity,1.0154543849811852
