,mean
Size,2.074855682613525
Weight,2.1125652091906093
Sweetness,1.85343479959189
Softness,2.0334608380012704
HarvestTime,2.0219836473201034
Ripeness,2.1890760615704523
Acidity,2.18777998673972
weight_to_size,294.82512470762026
ripeness_to_harvest,255.81816282567448
acidity_times_softness,4.435992052519722
Size^2,4.379228332254228
Size^3,9.382906402546714
Weight^2,4.5262731555876
Weight^3,9.819460309431793
Sweetness^2,3.52453662534914
Sweetness^3,6.853869587235216
Softness^2,4.220939111265578
Softness^3,8.906382660877023
HarvestTime^2,4.161224532165865
HarvestTime^3,8.69537892747712
Ripeness^2,4.85942537522298
Ripeness^3,10.911434185013372
Acidity^2,4.863973630956505
Acidity^3,10.956201849676525
Size*Weight,4.371187974466627
Ripeness*Sweetness,4.076489136793816
HarvestTime*Acidity,4.4167013757719
