,scale
Size,0.2724008600951737
Weight,0.2516771592835479
Sweetness,0.29885794118763376
Softness,0.2932168678312183
HarvestTime,0.26982709674151706
Ripeness,0.2595599581641546
Acidity,0.27855405324219196
weight_to_size,26275.16736511709
ripeness_to_harvest,22780.788703399983
acidity_times_softness,0.8124381817699103
Size^2,1.0955272771593272
Size^3,3.405032037872575
Weight^2,1.0276165460686895
Weight^3,3.2221223699885346
Sweetness^2,1.0851270128200605
Sweetness^3,3.0905652161600434
Softness^2,1.1115190607393737
Softness^3,3.289777085735954
HarvestTime^2,1.0512844646107402
HarvestTime^3,3.1849763123681125
Ripeness^2,1.0617082100880695
Ripeness^3,3.362859529984631
Acidity^2,1.140320387738885
Acidity^3,3.638377318775388
Size*Weight,0.7145312279068453
Ripeness*Sweetness,0.8687358629926283
HarvestTime*Acidity,0.7861202550700487
