,min
Size,0.4800143185892901
Weight,0.5932237718594994
Sweetness,0.4604479634173384
Softness,0.45782363075345683
HarvestTime,0.5413215109117002
Ripeness,0.509423425931188
Acidity,0.5260682846471559
weight_to_size,0.12572881083224596
ripeness_to_harvest,0.6998488247250513
acidity_times_softness,0.718891403428072
Size^2,-3.040968699715807e-11
Size^3,0.4402971877607158
Weight^2,-1.3195549406909077e-09
Weight^3,0.7561940445343136
Sweetness^2,-1.7917859925550147e-09
Sweetness^3,0.3832873671184642
Softness^2,-2.196306108825879e-09
Softness^3,0.3758215239839227
HarvestTime^2,-2.0349934061829605e-10
HarvestTime^3,0.6217521005320106
Ripeness^2,-2.952505469522072e-10
Ripeness^3,0.5282435284025296
Acidity^2,-4.843083015440631e-10
Acidity^3,0.5776425641774662
Size*Weight,0.46978768732348997
Ripeness*Sweetness,0.42809652315637364
HarvestTime*Acidity,0.43037380189346314
