,scale
Size,0.06523631948062704
Weight,0.07161941671141688
Sweetness,0.07156456710897506
Softness,0.06578568841032345
HarvestTime,0.07288385215472691
Ripeness,0.06862626542801656
Acidity,0.06394429991078812
weight_to_size,2.5035320912117446e-05
ripeness_to_harvest,2.4394255790762615e-05
acidity_times_softness,0.01522926243475769
Size^2,0.015739688466053857
Size^3,0.0011052275124029795
Weight^2,0.014575533774201342
Weight^3,0.001330668738389265
Sweetness^2,0.01759257558659073
Sweetness^3,0.0014390536389007498
Softness^2,0.014722503915051414
Softness^3,0.0011150165274216618
HarvestTime^2,0.018128090740593968
HarvestTime^3,0.001517558217121175
Ripeness^2,0.018147754980459077
Ripeness^3,0.0012914230853599254
Acidity^2,0.014774725943343291
Acidity^3,0.0010373811151773997
Size*Weight,0.018850030725754027
Ripeness*Sweetness,0.014917957760637318
HarvestTime*Acidity,0.017303146399733876
