,center
Size,-0.89751402
Weight,-0.86633693
Sweetness,-1.0206731
Softness,0.20120611
HarvestTime,-0.93419198
Ripeness,0.96495169
Acidity,0.100126995
weight_to_size,-0.14778213192145778
ripeness_to_harvest,-0.06123195116496159
acidity_times_softness,-0.00825758119894969
Size^2,2.75252256526468
Size^3,-0.7229757670617262
Weight^2,2.5966377186396645
Weight^3,-0.6502223328392036
Sweetness^2,2.4057810744736052
Sweetness^3,-1.0633102669091543
Softness^2,2.4603089465574097
Softness^3,0.00814590249292186
HarvestTime^2,2.42769816954209
HarvestTime^3,-0.8152845401702669
Ripeness^2,2.72560619137924
Ripeness^3,0.8984973507380526
Acidity^2,2.762961549534225
Acidity^3,0.001003844324654186
Size*Weight,-0.23811976217395792
Ripeness*Sweetness,-0.0380062223922476
HarvestTime*Acidity,-0.4480343965306175
