,scale
Size,2.9312171599999997
Weight,2.997975725
Sweetness,2.417521895
Softness,3.13984315
HarvestTime,2.6279846749999995
Ripeness,2.834503255
Acidity,3.31136885
weight_to_size,1.957186946837061
ripeness_to_harvest,2.1414528354057856
acidity_times_softness,4.167727615204515
Size^2,6.636949877076008
Size^3,12.08564961183689
Weight^2,5.76710654198997
Weight^3,11.444190014139098
Sweetness^2,5.4691931366023265
Sweetness^3,9.388153319689897
Softness^2,4.88487186436868
Softness^3,7.743671828740961
HarvestTime^2,5.753542768925221
HarvestTime^3,9.667588277550268
Ripeness^2,6.542761188735396
Ripeness^3,11.750002188766231
Acidity^2,6.562356470894129
Acidity^3,9.084340583985338
Size*Weight,4.175116611205888
Ripeness*Sweetness,4.084884512284338
HarvestTime*Acidity,3.936591740498181
