,mean
Size,-0.7468424648230404
Weight,-0.7600845838236557
Sweetness,-0.7700141653795822
Softness,-0.015536609563040215
HarvestTime,-0.7506129262952439
Ripeness,0.780520801176682
Acidity,0.010415265386183072
weight_to_size,5.030379579797864
ripeness_to_harvest,-0.03611038215901511
acidity_times_softness,-0.6852696200342322
Size^2,5.114170954411048
Size^3,-7.988832719886121
Weight^2,4.638851899348805
Weight^3,-9.333756794317942
Sweetness^2,4.386495812443176
Sweetness^3,-4.662846118843143
Softness^2,4.263033886938484
Softness^3,-1.8992394662939802
HarvestTime^2,4.544977625899933
HarvestTime^3,-7.143417246737497
Ripeness^2,5.065203831349223
Ripeness^3,7.937749102445301
Acidity^2,5.246348686402736
Acidity^3,-1.5971612509081081
Size*Weight,-0.2146992230188698
Ripeness*Sweetness,0.13375375595751615
HarvestTime*Acidity,-0.4266629285986516
