,scale
Size,0.10334213636098236
Weight,0.11653056847934588
Sweetness,0.10932694995137957
Softness,0.10917999122935294
HarvestTime,0.10987881169185712
Ripeness,0.10523828842552473
Acidity,0.0990642686377286
weight_to_size,2.5035320912117446e-05
ripeness_to_harvest,2.4394255790762615e-05
acidity_times_softness,0.0255430551341447
Size^2,0.03615164730835278
Size^3,0.0043165163266961105
Weight^2,0.038662995817639205
Weight^3,0.005738629600976905
Sweetness^2,0.04763046363220087
Sweetness^3,0.005226814567621996
Softness^2,0.04429501012551115
Softness^3,0.005183929379534003
HarvestTime^2,0.038839192869878955
HarvestTime^3,0.005103628974842247
Ripeness^2,0.03799635221547353
Ripeness^3,0.00457475763133792
Acidity^2,0.035823058286056926
Acidity^3,0.0038633693497476434
Size*Weight,0.02032006935048368
Ripeness*Sweetness,0.023054056864865564
HarvestTime*Acidity,0.020320262393808994
