,scale
Size,2.9318667599999997
Weight,2.999065875
Sweetness,2.41837737
Softness,3.1375784749999998
HarvestTime,2.6279846749999995
Ripeness,2.8358760750000003
Acidity,3.31151285
weight_to_size,1.9567467981589337
ripeness_to_harvest,2.1408581131978544
acidity_times_softness,4.160434916644302
Size^2,6.6386262312614
Size^3,12.095758505746705
Weight^2,5.770369456959636
Weight^3,11.46035860341986
Sweetness^2,5.4691931366023265
Sweetness^3,9.38840125309427
Softness^2,4.886470372500792
Softness^3,7.726323731156389
HarvestTime^2,5.753542768925221
HarvestTime^3,9.667588277550268
Ripeness^2,6.5478354578072
Ripeness^3,11.757827424708609
Acidity^2,6.5637879136249975
Acidity^3,9.085487536741944
Size*Weight,4.158988472779633
Ripeness*Sweetness,4.081524514202378
HarvestTime*Acidity,3.929257581358887
