,scale
Size,2.106848499332525
Weight,1.9900433262000383
Sweetness,1.9200643772052928
Softness,2.0333387052952094
HarvestTime,1.9676622847675418
Ripeness,2.079522193880672
Acidity,2.2578106764814976
weight_to_size,404.7042318108267
ripeness_to_harvest,361.0166369201773
acidity_times_softness,4.291434524879565
Size^2,5.88324908112529
Size^3,30.283624917697978
Weight^2,5.323871044730945
Weight^3,25.92273406033458
Sweetness^2,4.973441316190877
Sweetness^3,23.961905082767828
Softness^2,4.823309678525931
Softness^3,23.660325775543175
HarvestTime^2,5.258331985359398
HarvestTime^3,25.7945277340601
Ripeness^2,5.745196388106603
Ripeness^3,29.185959278221482
Acidity^2,6.112074920538336
Acidity^3,33.043573247225325
Size*Weight,4.276442685105426
Ripeness*Sweetness,4.531580014673233
HarvestTime*Acidity,4.065443609697359
